"id","channel","channel_type","question_no","question_text","answer_type","created_at"
"1","Pharmacy Store","Pharmacy Store","Q1","How do you rate the in store displays for Haleon products vs competition.","star_rating","2026-05-15 06:13:23"
"2","Pharmacy Store","Pharmacy Store","Q2","How do you rate the usage of tech within the retail environment.","star_rating","2026-05-15 06:13:23"
"3","Pharmacy Store","Pharmacy Store","Q3","How do you rate the product / assortment availability.","star_rating","2026-05-15 06:13:23"
"4","Pharmacy Store","Pharmacy Store","Q4","What according to you is working well?","text","2026-05-15 06:13:23"
"5","Pharmacy Store","Pharmacy Store","Q5","What opportunities exist for Haleon in this space?","text","2026-05-15 06:13:23"
"8","Grocery Store","Grocery Store","Q1","How do you rate the in store displays for Haleon products vs competition.","star_rating","2026-05-15 06:13:23"
"9","Grocery Store","Grocery Store","Q2","How do you rate the usage of tech within the retail environment.","star_rating","2026-05-15 06:13:23"
"10","Grocery Store","Grocery Store","Q3","How do you rate the store's ability to understand & push Haleon's products.","star_rating","2026-05-15 06:13:23"
"11","Grocery Store","Grocery Store","Q4","What according to you is working well?","text","2026-05-15 06:13:23"
"12","Grocery Store","Grocery Store","Q5","What opportunities exist for Haleon in this space?","text","2026-05-15 06:13:23"
"15","MT Store","MT Store","Q1","How do you rate the primary shelf share and visibility for Haleon products vs competition.

","star_rating","2026-05-15 06:13:23"
"16","MT Store","MT Store","Q2","How do you rate the usage of tech within the retail environment.","star_rating","2026-05-15 06:13:23"
"17","MT Store","MT Store","Q3","How do you rate the product / assortment availability.","star_rating","2026-05-15 06:13:23"
"18","MT Store","MT Store","Q4","What according to you is working well?","text","2026-05-15 06:13:23"
"19","MT Store","MT Store","Q5","What opportunities exist for Haleon in this space?","text","2026-05-15 06:13:23"
"22","In-Market Activation","In-Market Activation","Q1","How do you rate the effectiveness of the activation .","star_rating","2026-05-15 06:13:23"
"23","In-Market Activation","In-Market Activation","Q2","How do you rate the usage of tech within the retail environment","star_rating","2026-05-15 06:13:23"
"24","In-Market Activation","In-Market Activation","Q3","How do you rate the quality & understanding of the promoter in the activity.","star_rating","2026-05-15 06:13:23"
"25","In-Market Activation","In-Market Activation","Q4","What according to you is working well?","text","2026-05-15 06:13:23"
"26","In-Market Activation","In-Market Activation","Q5","What opportunities exist for Haleon in this space?","text","2026-05-15 06:13:23"
"27","In-Market Activation","In-Market Activation","Q6","Is there anything else you want to share?","text","2026-05-15 06:13:23"
"28","In-Market Activation","In-Market Activation","Q7","How do you feel by the end of this visit? (Free text / Emoji / Word selection)","text","2026-05-15 06:13:23"
"29","HCP","HCP","Q1","How do you rate the level of conviction of the HCP wrt Haleon products?","star_rating","2026-05-15 06:13:23"
"30","hcp","HCP","Q2","How do you rate the usage of tech within the retail environment.","star_rating","2026-05-15 06:13:23"
"31","hcp","HCP","Q3","How do you rate the quality of recommendation / Prescription for Haleon products?
","star_rating","2026-05-15 06:13:23"
"32","hcp","HCP","Q4","What according to you is working well?","text","2026-05-15 06:13:23"
"33","hcp","HCP","Q5","What opportunities exist for Haleon in this space?","text","2026-05-15 06:13:23"
"36","Consumer","Consumer","Q1","How do you rate the quality of interaction - overall.","star_rating","2026-05-15 06:13:23"
"37","Consumer","Consumer","Q2","How do you rate the quality of respondent?","star_rating","2026-05-15 06:13:23"
"38","Consumer","Consumer","Q3","How many brands from Haleon are being used in consumer household?","number_dropdown","2026-05-15 06:13:23"
"39","Consumer","Consumer","Q4","What according to you is working well?","text","2026-05-15 06:13:23"
"40","Consumer","Consumer","Q5","What opportunities exist for Haleon in this space?","text","2026-05-15 06:13:23"
"43","Dcommerce","Dcommerce","Q1","How do you rate the quality of A+ content and listing? ","star_rating","2026-05-15 06:13:23"
"44","Dcommerce","Dcommerce","Q2","What would you rate as your rating for the total consumer experience DTC / DCOM?","star_rating","2026-05-15 06:13:23"
"45","Dcommerce","Dcommerce","Q3","How do you rate the product / assortment availability","star_rating","2026-05-15 06:13:23"
"46","Dcommerce","Dcommerce","Q4","What according to you is working well?","text","2026-05-15 06:13:23"
"47","Dcommerce","Dcommerce","Q5","What opportunities exist for Haleon in this space?","text","2026-05-15 06:13:23"
"50","Consumer1","Consumer","Q1","How do you rate the in store displays for Haleon products vs competition ","star_rating","2026-05-15 06:13:23"
